topic_id,topic_name,gcmd_link_name,gcmd_link_code
9E2796C2-8FE0-47E2-B5B2-567B34DC327C,Accelerator+R&D,EARTH SCIENCE SERVICES,gcmd.earthdata.nasa.gov/kms/concept/894f9116-ae3c-40b6-981d-5113de961710
E47F10DE-5D22-4874-9BEA-AD55FE154EBD,Agricultural+systems,AGRICULTURE,gcmd.earthdata.nasa.gov/kms/concept/a956d045-3b12-441c-8a18-fac7d33b2b4e
AB2D00B0-ECE5-403F-8160-717CA61BE9FF,Analytical+Science,none,none
A18C3009-0433-49A4-9FE6-ACEC88C34CF9,Animal+&+human+physiology,none,none
9F986742-F0F9-4D4F-9B98-6ABD7CC2CD7E,Animal+behaviour,ANIMAL ECOLOGY AND BEHAVIOR,gcmd.earthdata.nasa.gov/kms/concept/5d1b53b2-7d69-4b7c-903f-d8cf29430f93
7B190878-D7C1-402A-A3DC-115C1F184D05,Animal+diseases,ANIMAL DISEASES/DISORDERS/PESTS,gcmd.earthdata.nasa.gov/kms/concept/e749bafe-9a0a-42cc-bed8-9b42e3e088c8
87BCC765-0FD3-4459-A3EA-5F21DB1B42C7,Animal+organisms,BIOLOGICAL CLASSIFICATION,gcmd.earthdata.nasa.gov/kms/concept/fbec5145-79e6-4ed0-a804-6228aa6daba5
A1529A2B-E028-4DAB-80DC-B502F28D9365,Anthropological+Methodology,ANTHROPOLOGY,gcmd.earthdata.nasa.gov/kms/concept/a9251a0f-3144-44fe-8746-71e2b2e68ab4
AEC849F3-E167-427F-919D-301B1591E1D6,Applied+Arts+HTP,none,none
513702B4-7C48-41F2-A1A0-8B4E8BEDCABC,Assess/Remediate+Contamination,none,none
AA0918F3-137C-40A8-8606-16BE08164F7B,Atmospheric+Kinetics,ATMOSPHERE,gcmd.earthdata.nasa.gov/kms/concept/c47f6052-634e-40ef-a5ac-13f69f6f4c2a
582C69C5-00BE-4B38-ADF5-FF9D55C2954E,Atoms+&+Ions,none,none
9E28E605-EF56-4E13-B8AF-6B2876BBA1DB,Behavioural+Ecology,ECOLOGICAL DYNAMICS,none
6997E843-AD07-4064-B67D-D4A928309DB4,Biochemistry+&+physiology,ANIMAL PHYSIOLOGY AND BIOCHEMISTRY,gcmd.earthdata.nasa.gov/kms/concept/f9cdf3ae-fe8b-4a19-a946-a8c8780d7894
F8AEB69C-2A63-4731-BC48-1F663EFFAB20,Bioenergy,BIOMASS ENERGY PRODUCTION/USE,gcmd.earthdata.nasa.gov/kms/concept/99ed30c9-332c-4acf-8620-eab3c67bcc90
B6839A6F-223C-48E0-A93F-BC95BC3CA7B2,Biogeochemical+Cycles,BIOGEOCHEMICAL CYCLES,gcmd.earthdata.nasa.gov/kms/concept/9015e65f-bbae-4855-a4b6-1bfa601752bd
B50FC2B1-2E3C-4A28-93C6-EEFCD6244B96,Boundary+Layer+Meteorology,none,none
0C34B7F1-EBBA-4D7C-B83D-3A3B5BD3F6E5,Carbon+Capture+&+Storage,CARBON CAPTURE AND STORAGE,gcmd.earthdata.nasa.gov/kms/concept/e8c24822-7d2d-48c6-9dca-df3860e9bd63
A42D4F91-28C1-496A-AF13-ADF0DA139686,Civil+Engineering+Materials,none,none
3D749523-4185-40BA-B5DA-CC4B175770D7,Climate & Climate Change,CLIMATE INDICATORS,gcmd.earthdata.nasa.gov/kms/concept/23703b6b-ee15-4512-b5b2-f441547e2edf
4AF29E4C-1FFD-4796-99AF-C1A970A69246,Climate+&+climate+change,CLIMATE INDICATORS ,gcmd.earthdata.nasa.gov/kms/concept/23703b6b-ee15-4512-b5b2-f441547e2edf
4B468BED-53F6-4FD2-B756-CEDABDF426A6,Coastal+&+Waterway+Engineering,none,none
C8903ED3-2FE2-4DBE-B501-5F6339FFE5B7,Community+Art+inc+A+&+H,FINE ARTS,gcmd.earthdata.nasa.gov/kms/concept/ae0ade63-4d8b-4908-9821-a2ec0bec85bc
EAA99485-F7C8-450C-BC5B-B8221103F2EF,Community+Ecology,COMMUNITY DYNAMICS,gcmd.earthdata.nasa.gov/kms/concept/8fb66b46-b998-4412-a541-d2acabdf484b
9680ED77-DC70-4780-8689-8895551AC6C5,Conservation+Ecology,CONSERVATION,gcmd.earthdata.nasa.gov/kms/concept/40869a25-edea-4438-80f9-47c9e6910b9b
EE4FF886-DF3B-4BBB-95D9-5E460A61DD34,Construction+Ops+&+Management,none,none
D416996E-0E0E-4948-A58F-E899DE60B516,Continuum+Mechanics,none,none
1E83361D-11B7-47B6-BE6D-F36F8068D0ED,Crop+protection,AGRICULTURAL PLANT SCIENCE,gcmd.earthdata.nasa.gov/kms/concept/25be3b9a-9d4c-4b5b-8d24-b1f519913d90
F5D5748C-7774-48C0-A56F-E9200200386A,Cultural+and+Anthrop+Geography,none,none
77046D50-F446-4EE7-8471-82373BD43349,Cultural+Geography,none,none
9A09A954-9F4E-4E48-9776-9B31E3EB606E,Cultural+History,none,none
55D511F5-7784-4185-81A5-BA0EDE8AD473,Cultural+Studies,none,none
3ADE3DAF-6018-4A3F-98C6-BDBB393095F4,Diet+&+health,none,none
6FB374AA-7749-400E-AE27-D030A596C068,Earth+&+environmental,HUMAN DIMENSION/ENVIRONMENTAL IMPACTS,gcmd.earthdata.nasa.gov/kms/concept/3f4cfc81-7745-43d9-b313-f68cdf72359b
7D5880E8-1E99-4C05-B91E-0B2562132641,Earth+Engineering,none,none
A646062E-6497-4533-8274-47644A7B369C,Earth+Resources,SOLID EARTH,gcmd.earthdata.nasa.gov/kms/concept/2b9ad978-d986-4d63-b477-0f5efc8ace72
C724D02C-86CD-4AD4-B1C5-0E9203A28304,Earth+Surface+Processes,GEOMORPHIC LANDFORMS/PROCESSES,gcmd.earthdata.nasa.gov/kms/concept/d35b9ba5-d018-48a5-8f0d-92b9c55b3279
112D9AB1-CFEF-49C7-9305-F401831E490D,Econ%2C+Pol+&+Env+Anthropology,none,none
387FA8AA-A599-401E-A726-B3B670F93825,Ecosystem+Scale+Processes,ECOSYSTEMS,gcmd.earthdata.nasa.gov/kms/concept/f1a25060-330c-4f84-9633-ed59ae8c64bf
9B5E68DA-E81C-476D-959E-2DDD956903B7,Ecotoxicology,none,none
A9DBE992-754C-467E-BA12-F434D1015EE7,Endocrinology,none,none
CBDA9E78-9093-405F-88B6-C2859C7D89E2,Energy+-+Conventional,none,none
75904339-B9F8-44F2-A4DA-8C8D1F45B66F,Energy+-+Marine+&+Hydropower,none,none
7253D285-A76F-4D44-9F4E-145B36C44780,Energy+Efficiency,none,none
D77CDC8F-3318-4D44-BAB0-F7D80FD7EA50,Energy+Storage,none,none
5239B81C-5541-40A1-B96A-C4A389EC376B,Environment+&+Health,HEALTH ADVISORIES,gcmd.earthdata.nasa.gov/kms/concept/370eba54-962b-4e59-9686-86d5c5ab9c88
C6A85141-ED79-4266-86E5-F6D25217C97F,Environmental+Genomics,none,none
AD3E57C4-F092-4953-A4A6-3C51988F9B23,Environmental+Geography,none,none
8C95AE56-B7EE-41B3-88FA-E363A8C96F17,Environmental+Informatics,none,none
AF3F5E7C-7FB6-4588-9174-6018BA2A231B,Environmental+Microbiology,none,none
19F550D7-1AE6-4B86-87B9-2C2934306C34,Environmental+Physiology,none,none
0A88D7F7-5864-448C-AB61-A0A80B39B49C,Epigenetics,none,none
76B53DC6-EF13-4A6B-951E-BF8E6C561A29,Evolution+&+populations,none,none
D40D80B0-4DB8-4DFA-8838-385EE1C43239,Exploration+Technology,none,none
C088DD56-F20A-4F42-B820-48034BA1CBD6,Extremophiles,BIOLOGICAL CLASSIFICATION,gcmd.earthdata.nasa.gov/kms/concept/fbec5145-79e6-4ed0-a804-6228aa6daba5
A74EE9BE-26EF-44DC-9CBB-9CBF32BC01BA,Genomics,none,none
C2F59A9C-44A7-433D-82F5-7D266814D012,Geography+and+Development,none,none
7C1E058D-8249-4348-B921-F32CB593A90F,Geohazards,NATURAL HAZARDS,gcmd.earthdata.nasa.gov/kms/concept/ec0e2762-f57a-4fdc-b395-c8d7d5590d18
10177BDF-17A6-4444-856D-5426F564718F,Glacial+&+Cryospheric+Systems,GLACIERS/ICE SHEETS,gcmd.earthdata.nasa.gov/kms/concept/099ab1ae-f4d2-48cc-be2f-86bd58ffc4ca
BF9C3C53-D354-45AA-9EF7-109B6380FECD,Ground+Engineering,none,none
623B8A39-1858-4E3B-ABCC-9B6083FFCF54,Heritage+Management,none,none
38F0DFE2-A72D-4B00-AA9D-8E1E14BCFF03,Historical+Geography,none,none
EC08A9FF-E85D-489B-9AFD-BFC094E738BE,History+of+Sci./Med./Technol.,none,none
D8EF3E8F-6047-4074-9498-C0C5AB12851C,Hydrological+Processes,TERRESTRIAL HYDROSPHERE,gcmd.earthdata.nasa.gov/kms/concept/885735f3-121e-4ca0-ac8b-f37dbc972f03
5AD4234F-D501-4F32-848C-A8C78FEA513C,Imperial/Colonial+History,SOCIAL SCIENCES,gcmd.earthdata.nasa.gov/kms/concept/89ea7131-263f-4642-bbb5-09c65457ef3d
4D4F63B1-6DA2-42B3-AAF1-0FC07D91E3D3,Instrumentation+Eng.+&+Dev.,none,none
BF71A135-BA27-42BE-97F9-D3872D23AE83,International+Law,none,none
2BC2B789-612F-4488-911C-7B3E0E25DDEA,Knowledge+Management,none,none
5C78E96A-AFE4-483A-9A61-7334E3D1A81B,Land+-+Atmosphere+Interactions,ATMOSPHERE,gcmd.earthdata.nasa.gov/kms/concept/c47f6052-634e-40ef-a5ac-13f69f6f4c2a
803D219E-7469-4D6C-89A2-C19426F48BFD,Land+-+Ocean+Interactions,COASTAL PROCESSES,gcmd.earthdata.nasa.gov/kms/concept/b6fd22ab-dca7-4dfa-8812-913453b5695b
FF8C7967-145B-4771-A235-B802F843D6A9,Large+Scale+Dynamics/Transport,OCEANS,gcmd.earthdata.nasa.gov/kms/concept/91697b7d-8f2b-4954-850e-61d5f61c867d
5025812E-46B1-496E-92E1-F7574C9FAABF,Mantle+&+Core+Processes,TECTONICS,gcmd.earthdata.nasa.gov/kms/concept/1e17c8d3-81d0-473c-8f24-d2a4ea52b6b9
BEA752D6-11B4-4E5F-937C-2DD41104E229,Materials+Characterisation,none,none
37BC8007-8E61-4B1B-AB27-B72993365550,Mathematical+Analysis,none,none
AB529AEA-224D-4516-8E97-6E562305A928,Mathematical+Aspects+of+OR,MATHEMATICS,gcmd.earthdata.nasa.gov/kms/concept/c94e9340-2fe5-4254-bcbd-8d8aaed45f6e
45C986E2-B9DE-408F-8004-AE07924DA81A,Med.Instrument.Device&+Equip.,In Situ/Laboratory Instruments,gcmd.earthdata.nasa.gov/kms/concept/ff564c87-78f2-47eb-a857-a4bdc0a71ae5
7E61B40B-93E5-4D69-8C89-426ED7E0D2B4,Metabolomics+/+Metabonomics,BIOLOGICAL CLASSIFICATION,gcmd.earthdata.nasa.gov/kms/concept/fbec5145-79e6-4ed0-a804-6228aa6daba5 
BEDCF647-4A00-4E61-A31A-CBFEC4AA0E95,Microbial,none,none
02A8BBE5-B0C8-4080-8559-4BA8105B30A9,Museum+&+Gallery+Studies,RECREATIONAL ACTIVITIES,gcmd.earthdata.nasa.gov/kms/concept/9ee8acad-458e-45c1-a1d5-9b1649c82ea7
8443F120-DA53-4913-88FA-6D44BA2F30A8,Ocean+-+Atmosphere+Interact.,none,none
DBF8B181-F206-43C8-95E2-43C5ED8147A4,Ocean+Circulation,OCEAN CIRCULATION,gcmd.earthdata.nasa.gov/kms/concept/a031952d-9f00-4ba5-9966-5f87ab9dfdd4
22FAD728-0354-4CCC-8DDF-373E544E40E1,Oceanic+Studies,none,none
8FC81EEC-EED6-4416-A259-DA76C05C2B07,Operations+Management,none,none
5ACFBE1D-EE1E-426B-AC20-947477DEAB3D,Optical+Devices+&+Subsystems,Earth Remote Sensing Instruments,gcmd.earthdata.nasa.gov/kms/concept/6015ef7b-f3bd-49e1-9193-cc23db566b69
C239C4FE-2588-4DAB-8B96-C53385209770,Palaeoenvironments,PALAEOCLIMATE,gcmd.earthdata.nasa.gov/kms/concept/c7245882-84a1-4192-acfa-a758b5b9c151
2AD688AC-61F3-4D42-9632-B4DDFF345E89,Plant+developmental+biology,PLANTS,gcmd.earthdata.nasa.gov/kms/concept/0b4081fa-5233-4484-bc82-706976defa0e
02ADC13C-AEF4-4B37-9B11-CE6D4C797A6D,Plant+physiology,PLANTS,gcmd.earthdata.nasa.gov/kms/concept/0b4081fa-5233-4484-bc82-706976defa0e
69BB89E2-2024-40BF-8DD1-7C65025F8444,Plant+responses+to+environment,LAND SURFACE/AGRICULTURE INDICATORS,gcmd.earthdata.nasa.gov/kms/concept/112e71ec-c0a1-49a8-82d7-bcb317b45860
C28652DF-567B-4785-B4D0-8B6DE8649F53,Pollution,EMISSIONS,gcmd.earthdata.nasa.gov/kms/concept/2a60df4a-a0d7-4e4b-b02a-372a083f0170
7476611A-67C7-40CD-9251-0A56C12EAD65,Population+Ecology,BIOLOGICAL CLASSIFICATION,gcmd.earthdata.nasa.gov/kms/concept/fbec5145-79e6-4ed0-a804-6228aa6daba5
145958A0-DF76-40F3-A919-A64B4E16E540,Population+Genetics/Evolution,SPECIES/POPULATION INTERACTIONS,gcmd.earthdata.nasa.gov/kms/concept/58f39353-7e1c-4884-9501-376cd0377fbf
16936729-D808-45EE-B9A7-6BDA90277242,Prehistoric+Archaeology,PALEOCLIMATE,gcmd.earthdata.nasa.gov/kms/concept/c7245882-84a1-4192-acfa-a758b5b9c151
880B15A3-09D5-44E9-AEA7-BD8E5AE2B695,Properties+Of+Earth+Materials,SOLID EARTH,gcmd.earthdata.nasa.gov/kms/concept/2b9ad978-d986-4d63-b477-0f5efc8ace72
CC24EDDB-638D-47F8-A518-D057EAAEB4B9,Public+Health,gcmd.earthdata.nasa.gov/kms/concept/da2c70fd-d92b-45be-b159-b2c10cb387c6
0DA21288-0AE4-430A-9633-CA7DC13E1091,Quaternary+Science,EARTH SCIENCE,gcmd.earthdata.nasa.gov/kms/concept/e9f67a66-e9fc-435c-b720-ae32a2c3d8f5
62F2DE91-2FCC-4296-8788-C9F61FC7A6A9,Radiative+Processes+&+Effects,SURFACE RADIATIVE PROPERTIES,gcmd.earthdata.nasa.gov/kms/concept/cb5cc628-a1b5-459e-934f-881153a937b8
AB29DA8B-E475-4763-A8F4-E027D538A610,Regional+&+Extreme+Weather,EXTREME WEATHER,gcmd.earthdata.nasa.gov/kms/concept/b29b46ad-f05f-4144-b965-5f606ce96963
7F199C29-8AFA-4605-85CF-F9AEF5D92443,Regional+Geography,none,none
E58B2B59-9203-40D8-BA4E-79EAD081F9D4,Remote+Sensing+&+Earth+Obs.,SPECTRAL/ENGINEERING,gcmd.earthdata.nasa.gov/kms/concept/83150c54-5da8-4ee8-9579-19b95a8dc10c
812BD191-6D4F-4F72-852D-0F63AD58ABD8,Research+approaches,ADMINISTRATIVE SCIENCES,gcmd.earthdata.nasa.gov/kms/concept/fbf13798-2bcd-4ae7-99f9-a4b69dd425c1
6E8D4FE8-C7EA-4691-A293-9250BE2E69FB,Responses+to+environment,CLIMATE INDICIATORS,gcmd.earthdata.nasa.gov/kms/concept/23703b6b-ee15-4512-b5b2-f441547e2edf
8EC6A705-6D4A-44E8-95FF-27E262DA290C,RF+&+Microwave+Technology,MICROWAVE,gcmd.earthdata.nasa.gov/kms/concept/66700628-2b62-4466-999e-faeb15ca4da5
91DE3CA2-F146-4E23-94D2-392DF507EA33,Science-Based+Archaeology,none,none
C48A63FA-EC0F-439D-88A6-D06CCC7AE56B,Sediment/Sedimentary+Processes,EROSION/SEDIMENTATION,gcmd.earthdata.nasa.gov/kms/concept/a246a8cf-e3f9-4045-af9f-dc97f6fe019a
3CBAF75C-892B-4AC2-8499-334BF05853B4,Social+Anthropology,none,none
D6760DC9-CA9E-491D-844B-9BA0B88048E1,Social+Geography,none,none
B3414B75-D8A6-4BB5-8117-3F2E8669AE2E,Social+Policy,none,none
2FCBFFC2-2DC5-437B-9AD4-4FC35AC92249,Socio+Legal+Studies,none,none
E6DEF4EE-2C3F-4381-89D0-925B01B9CF27,Soil+science,SOILS,gcmd.earthdata.nasa.gov/kms/concept/3526afb8-0dc9-43c7-8ad4-f34f250a1e91
B58866EE-BF78-4CE7-AFA9-52B2CFB164F5,Solar+&+Solar-Terrestrial+Phys,none,none
265D4F19-43E5-48B0-8A3F-2FA7364967AA,Solar+Technology,none,none
A6AED911-6F1D-467C-A8A1-335074E764A3,Spatial+Planning,none,none
8CDDDC47-6DB8-492E-AC56-A075259E49CE,Statistics+&+Appl.+Probability,none,none
7D4E100B-203A-4DE7-917D-39D80861F02F,Stratospheric+Processes,ATMOSPHERE,gcmd.earthdata.nasa.gov/kms/concept/c47f6052-634e-40ef-a5ac-13f69f6f4c2a
0D9794B2-0C8D-4D7B-845E-15BB739052BF,Survey+&+Monitoring,EARTH SCIENCE SERVICES,gcmd.earthdata.nasa.gov/kms/concept/894f9116-ae3c-40b6-981d-5113de961710
9A9DA703-171E-455C-95C7-2F6BDD97FD4C,Systematics+&+Taxonomy,BIOLOGICAL CLASSIFICATION,gcmd.earthdata.nasa.gov/kms/concept/fbec5145-79e6-4ed0-a804-6228aa6daba5
AF9C5DBF-3FBB-42D4-A7BD-848A53DDEE6A,Technol.+for+Environ.+Appl.,EARTH SCIENCE SERVICES,gcmd.earthdata.nasa.gov/kms/concept/894f9116-ae3c-40b6-981d-5113de961710
E414E6F4-177E-4A94-A205-8BF4CDB038EB,Technology+and+method+dev,EARTH SCIENCE SERVICES,gcmd.earthdata.nasa.gov/kms/concept/894f9116-ae3c-40b6-981d-5113de961710
F52704F6-1035-4307-9FA9-45BC878F1F1A,Tectonic+Processes,none,none
F773383B-E021-4109-A044-AB5EADB350EC,Theoretical+biology,BIOLOGICAL CLASSIFICATION,gcmd.earthdata.nasa.gov/kms/concept/fbec5145-79e6-4ed0-a804-6228aa6daba5
21220CB4-4D36-471C-94CF-CF5930AD924A,Transport+Geography,TRANSPORTATION,gcmd.earthdata.nasa.gov/kms/concept/37a6c8e2-f2ac-48a4-a4fa-d80f700f68db
F6DFE439-6799-42C8-8C33-ABDFBBE848A0,Transport+Ops+&+Management,none,none
6041D28B-6B4C-4141-89BF-3AD9D822F08F,Tropospheric+Processes,ATMOSPHERE,gcmd.earthdata.nasa.gov/kms/concept/c47f6052-634e-40ef-a5ac-13f69f6f4c2a
8307939C-A65D-4E68-BB87-4F9674D09CC1,Upper+Atmos+Process+&+Geospace,ATMOSPHERE,gcmd.earthdata.nasa.gov/kms/concept/c47f6052-634e-40ef-a5ac-13f69f6f4c2a
D65A01DE-F5C0-451D-A2FC-D5BBB01B1579,Visual+arts,FINE ARTS,gcmd.earthdata.nasa.gov/kms/concept/ae0ade63-4d8b-4908-9821-a2ec0bec85bc
7F1C4565-EFD3-4BE7-8A4A-B5F39FFD36F3,Volcanic+Processes,VOLCANIC ACTIVITY,gcmd.earthdata.nasa.gov/kms/concept/1faaede0-2cd6-4447-b28b-0a28d9e2d067
08E9085E-5508-428B-AB19-85E5693148B3,Water+Engineering,ENVIRONMENTAL ENGINEERING,gcmd.earthdata.nasa.gov/kms/concept/596225b7-2cd8-4638-bb75-23bfb491aeb1
A6F8EF7A-279E-496C-8BF5-ADA444D51CF3,Water+In+The+Atmosphere,none,none
71A8EA33-09DF-4E02-85BA-A9545564F72D,Water+Quality,WATER QUALITY,gcmd.earthdata.nasa.gov/kms/concept/1ee8a323-f0ba-4a21-b597-50890c527c8e
46708542-5C83-487C-A8C3-DF9102E4B70F,Wind+Power,none,none
6CFA1E1F-F25C-4C23-8FE1-C47AE53E333E,Unclassified,none,none
